sentence,aspect_terms,polarity
"The battery life is great, can last up to 8 hours of full use, the software was up to date, i like the webcam resolution (8mp) and the sound is okay, not the best not the worst, the price was good, i'm in love with this product.","['product', 'software', 'webcam resolution', 'price', 'battery life']","['positive', 'positive', 'positive', 'positive', 'positive']"
"The beach was a bit far from the hotel, we had to walk quite a bit to get there.",['beach'],['negative']
The beds looked like they hadn't been changed since the last guest.,['beds'],['negative']
"The best application to listen to music in streamig: 30 million songs, many remixes, family plan and improving a lot in its podcast section.","['podcast section', 'application to listen to music']","['positive', 'positive']"
The best food I have ever enjoyed in a restaurant.,['food'],['positive']
The best food I have ever had.,['food'],['positive']
"The best insurance service has it all: houses, life, cars.",['insurance service'],['positive']
"The best service in the world, the best customer service, the food is delicious, I recommend it.","['service', 'customer service', 'the food']","['positive', 'positive', 'positive']"
"The bread from the sub was cold, I hated it",['bread'],['negative']
The camera does not comply with what is offered in the technical characteristics.,['camera'],['negative']
The camera size is small and the color is nice.,"['camera size', 'color']","['negative', 'positive']"
"The car wash is going great, I've never had a complaint, always the best of care, keep up the good work.","['care', 'car wash', 'work']","['positive', 'positive', 'positive']"
The case is beautiful and designed the way that allows the air flow into the internal parts.,"['case', 'designed']","['positive', 'positive']"
The case is very good looking and has a  remote control to adjust the fan lights.,['case'],['positive']
The case provides amazing airflow to the internal components and has a dust filter.,"['airflow', 'case']","['positive', 'positive']"
The charger is powerful and all my house members use it and it fill up our batteries to 100% in less than 45 minutes.,['charger'],['positive']
"The chicken was very rich and the the theme too, would definitely come back again","['theme', 'chicken']","['positive', 'positive']"
The couch is comfortable but the cloth is not of good quality.,['cloth'],['negative']
The decor was out of date.,['decor'],['negative']
"The dentist is a professional, he did his job perfectly, he cured the pain I had in my tooth.","['dentist', 'job']","['positive', 'positive']"
The dentists cleaned my teeth with ultrasound tool and my teeth are far better now.,"['teeth', 'dentists']","['positive', 'positive']"
The dinner was amazing.,['dinner'],['positive']
The doctor was very nice and prescribed the perfect medicine for me.,"['medicine', 'doctor']","['positive', 'positive']"
The experience was wonderful.,['experience'],['positive']
"The fish are fresh and well cooked, but I didn't like the meat.","['cooked', 'meat', 'fish']","['positive', 'negative', 'positive']"
The fish was raw in the hotel,"['fish', 'hotel']","['negative', 'negative']"
The food and all the dishes in general disappointed me.,['The food and all the dishes'],['negative']
"The food and rooms of the hotel are very good, I would definitely go again.","['hotel', 'rooms', 'food']","['positive', 'positive', 'positive']"
The food is delicious.,['food'],['positive']
The food was acceptable.,['food'],['positive']
The food was amazing the wopper burguers was delicius i like a lot his food,"['food', 'wopper burguers', 'The food']","['positive', 'positive', 'positive']"
"The food was amazing, even the drink are pretty refresh to me, not to strong","['drink', 'food']","['positive', 'positive']"
"The food was delicious, the waiters were very attentive to our needs.","['food', 'waiters']","['positive', 'positive']"
The food was great and the service was even better.,"['food', 'service']","['positive', 'positive']"
"The food was incredible, very nice food and good prices.","['food', 'food', 'prices']","['positive', 'positive', 'positive']"
The food was quality and the attention of the staff was unique,"['attention of the staff', 'food']","['positive', 'positive']"
The food was served cold and the dessert was very bad,"['food', 'dessert']","['negative', 'negative']"
The food was tasty and filling.,['food'],['positive']
The food was very good.,['food'],['positive']
"The food was very very good, I would definitely come back",['food'],['positive']
The graphics aren't as powerful as in PS5 but it's good value for money,"['it', 'value for money']","['positive', 'positive']"
The graphics were very good.,['graphics'],['positive']
"The hospital facilities are very beautiful, excellent equipment with very good technology, and very nice staff.","['equipment', 'hospital facilities', 'staff', 'technology']","['positive', 'positive', 'positive', 'positive']"
The hospital has many departments and it's clean.,['hospital'],['positive']
The hospital was very unclean and the doctors were not obligated by health procedures .,"['doctors', 'hospital']","['negative', 'negative']"
"The hotel is in a very good location with a good view and good recreational areas, great food","['The hotel', 'food', 'location', 'recreational areas', 'view']","['positive', 'positive', 'positive', 'positive', 'positive']"
